symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.24365,1.24485,1.22648,0.850,2025-02-07 15:40,2025-02-07 17:45,1.24485,SL_HIT,-12.00,-0.17,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
GBPUSD,SELL,CHOCH,1.23965,1.23960,1.22207,0.920,2025-02-10 14:00,2025-02-10 14:30,1.23884,GIVEBACK_GUARD,9.18,18.55,NY_OPEN,SELL,True,,True,0,True,29.09
AUDUSD,SELL,CHOCH,0.62687,0.62842,0.62000,0.820,2025-02-10 14:00,2025-02-10 17:05,0.62842,SL_HIT,-15.50,-0.56,NY_OPEN,BUY,True,,False,2,False,0.00
GBPUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,1.23911,1.23914,1.24406,0.870,2025-02-10 14:30,2025-02-10 15:55,1.23914,TRAILED_SL,3.60,0.18,NY_OPEN,SELL,True,,True,2,True,0.00
GBPUSD,SELL,CHOCH,1.23905,1.23898,1.22501,0.820,2025-02-10 15:55,2025-02-10 17:30,1.23898,TRAILED_SL,0.70,0.01,LONDON_CLOSE,SELL,True,,True,1,False,0.00
GBPUSD,SELL,CHOCH,1.23579,1.23655,1.22413,0.920,2025-02-11 12:35,2025-02-11 13:00,1.23655,SL_HIT,-7.60,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,152.43300,152.29300,152.79900,0.950,2025-02-11 16:20,2025-02-11 16:40,152.29300,SL_HIT,-14.00,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,152.29100,152.29555,152.48750,0.950,2025-02-11 16:55,2025-02-11 17:05,152.29555,TRAILED_SL,5.64,12.40,LONDON_CLOSE,NEUTRAL,True,,True,0,True,0.00
GBPUSD,BUY,CHOCH,1.24396,1.24487,1.25130,0.820,2025-02-12 12:05,2025-02-12 15:00,1.24487,TRAILED_SL,5.92,0.20,NY_OPEN,SELL,True,,True,2,True,0.00
USDJPY,BUY,HH_HL_CONTINUATION,153.61100,153.51800,153.89250,0.950,2025-02-12 13:05,2025-02-12 13:20,153.51800,SL_HIT,-9.30,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.24428,1.24102,1.25242,0.820,2025-02-12 15:05,2025-02-12 15:30,1.24102,SL_HIT,-32.57,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
USDJPY,BUY,CHOCH,154.30100,154.38400,157.35044,0.920,2025-02-12 15:30,2025-02-12 17:40,154.38400,TRAILED_SL,8.30,0.07,LONDON_CLOSE,BUY,True,,True,1,False,0.00
AUDUSD,SELL,CHOCH,0.62713,0.62704,0.61716,0.920,2025-02-13 12:00,2025-02-13 13:40,0.62704,TRAILED_SL,0.72,0.02,NY_OPEN,SELL,True,,True,2,True,0.00
AUDUSD,BUY,CHOCH,0.62858,0.62958,0.63948,0.820,2025-02-13 17:00,2025-02-13 18:35,0.62958,TRAILED_SL,10.00,0.23,LONDON_CLOSE,NEUTRAL,True,,True,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.63372,0.63375,0.63596,0.850,2025-02-14 13:50,2025-02-14 14:40,0.63409,GIVEBACK_GUARD,4.72,17.48,NY_OPEN,BUY,True,,True,0,True,26.67
AUDUSD,BUY,HH_HL_CONTINUATION,0.63453,0.63627,0.63647,0.850,2025-02-14 15:00,2025-02-14 16:35,0.63627,TRAILED_SL,8.34,1.52,NY_OPEN,BUY,True,,True,4,True,3.25
AUDUSD,SELL,CHOCH,0.63655,0.63654,0.63169,0.820,2025-02-17 12:00,2025-02-17 12:40,0.63654,TRAILED_SL,1.43,0.07,NY_OPEN,BUY,True,,True,1,True,0.00
GBPUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,1.25952,1.25954,1.26362,0.970,2025-02-18 12:45,2025-02-18 14:15,1.25954,TRAILED_SL,2.91,0.18,NY_OPEN,BUY,True,,True,1,True,0.00
USDJPY,BUY,CHOCH,151.72300,151.72435,152.59389,0.820,2025-02-18 14:50,2025-02-18 17:00,151.72435,TRAILED_SL,1.67,0.05,NY_OPEN,SELL,True,,True,2,True,0.00
GBPUSD,BUY,CHOCH,1.26040,1.26076,1.27207,0.920,2025-02-18 16:15,2025-02-18 18:40,1.26076,TRAILED_SL,7.92,0.17,LONDON_CLOSE,BUY,True,,True,2,True,0.00
GBPUSD,SELL,CHOCH,1.25995,1.25797,1.24403,0.820,2025-02-19 12:05,2025-02-19 21:10,1.25797,TRAILED_SL,12.06,0.19,NY_OPEN,BUY,True,,True,4,False,0.00
USDJPY,BUY,CHOCH,151.84200,151.24690,153.32975,0.820,2025-02-19 14:30,2025-02-19 17:00,151.24690,SL_HIT,-59.51,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.25990,1.26257,1.24844,0.820,2025-02-20 14:55,2025-02-20 17:10,1.26257,SL_HIT,-26.70,-0.58,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
GBPUSD,BUY,CHOCH,1.26567,1.26392,1.27699,0.920,2025-02-21 16:25,2025-02-21 17:20,1.26392,SL_HIT,-17.50,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,149.47100,149.33500,147.71664,0.920,2025-02-24 16:35,2025-02-24 17:50,149.33500,TRAILED_SL,9.88,0.14,LONDON_CLOSE,SELL,True,,True,2,False,0.00
USDJPY,SELL,LIQUIDITY_GRAB_CONTINUATION,149.82100,149.80690,149.11612,0.970,2025-02-25 13:35,2025-02-25 14:40,149.63800,GIVEBACK_GUARD,24.24,17.19,NY_OPEN,SELL,True,,True,0,True,20.15
AUDUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,0.63215,0.63128,0.63433,0.870,2025-02-26 12:30,2025-02-26 13:20,0.63128,SL_HIT,-8.72,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
USDJPY,SELL,LIQUIDITY_GRAB_CONTINUATION,149.51100,149.61500,148.99458,0.990,2025-02-26 13:15,2025-02-26 14:55,149.61500,SL_HIT,-10.40,-0.50,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.63143,0.63131,0.63265,0.750,2025-02-26 13:20,2025-02-26 13:25,0.63131,SL_HIT,-1.15,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.63136,0.63131,0.63257,0.750,2025-02-26 13:50,2025-02-26 13:55,0.63131,SL_HIT,-0.45,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.63132,0.63131,0.63253,0.750,2025-02-26 14:20,2025-02-26 14:25,0.63131,SL_HIT,-0.05,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
USDJPY,SELL,LIQUIDITY_GRAB_CONTINUATION,149.42700,149.42320,148.41530,0.990,2025-02-26 15:05,2025-02-26 15:30,149.42320,TRAILED_SL,4.71,0.12,LONDON_CLOSE,NEUTRAL,True,,True,1,True,0.00
USDJPY,SELL,LIQUIDITY_GRAB_CONTINUATION,149.53400,149.52412,149.04005,0.990,2025-02-26 15:35,2025-02-26 16:40,149.50100,GIVEBACK_GUARD,13.17,13.34,LONDON_CLOSE,NEUTRAL,True,,True,0,True,7.19
AUDUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,0.62961,0.62882,0.63158,0.870,2025-02-27 15:00,2025-02-27 15:40,0.62882,SL_HIT,-7.89,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,149.80700,149.81100,151.55015,0.850,2025-02-27 15:40,2025-02-27 18:40,149.81100,TRAILED_SL,4.96,0.07,LONDON_CLOSE,NEUTRAL,True,,True,1,True,0.00
